refdes	footprint	value	mfg	mfg_PN	vendor	vendor_PN	price	documentation	source	comment	
F	MTG370-700____.fp	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
D	MTG370-700____.fp	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
E	MTG370-700____.fp	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
C	MTG370-700____.fp	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
B	MTG370-700____.fp	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
A	MTG370-700____.fp	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
